question,subject
What is Newton's second law of motion?,physics
Calculate the force if mass = 2kg and acceleration = 3 m/s²,physics
Define kinetic energy.,physics
What is the potential energy of a 10kg object 5m above ground?,physics
What’s the unit of momentum?,physics
"If an object travels 20m in 4s, what is its speed?",physics
What is the acceleration if velocity changes from 10 to 20 m/s in 2 seconds?,physics
Sketch a distance-time graph for uniform acceleration.,physics
Define displacement.,physics
What's the difference between speed and velocity?,physics
What is the first law of thermodynamics?,physics
Convert 100°C to Kelvin.,physics
Define heat capacity.,physics
Explain entropy in simple terms.,physics
How does pressure change with temperature?,physics
What is the speed of sound in air?,physics
Define frequency and wavelength.,physics
What is a longitudinal wave?,physics
What is resonance?,physics
Calculate wave speed if frequency is 50Hz and wavelength is 2m.,physics
Define Ohm’s Law.,physics
What is the resistance of a wire if V = 10V and I = 2A?,physics
Describe a parallel circuit.,physics
What is electromagnetic induction?,physics
Explain how a transformer works.,physics
What is the photoelectric effect?,physics
Define half-life.,physics
"What are alpha, beta, and gamma rays?",physics
What does E = mc² mean?,physics
Who proposed the uncertainty principle?,physics
What is refraction?,physics
Define focal length.,physics
What is a concave mirror used for?,physics
Explain the concept of total internal reflection.,physics
Draw a ray diagram for a converging lens.,physics
What is special relativity?,physics
How does time dilation work?,physics
What are nuclear fission and fusion?,physics
Define mass defect.,physics
What is binding energy?,physics
Define power in physics.,physics
A machine does 100J of work in 5 seconds. What’s the power?,physics
What are renewable sources of energy?,physics
What is efficiency?,physics
A bulb uses 60W. How much energy in 1 hour?,physics
What is a black hole?,physics
Define redshift.,physics
What is the Hubble constant?,physics
Explain why stars twinkle.,physics
What is the life cycle of a star?,physics
What is centripetal force?,physics
Define torque.,physics
State the principle of conservation of energy.,physics
What is angular momentum?,physics
How does friction affect motion?,physics
What’s the SI unit of electric current?,physics
Define electric field.,physics
What is the function of a capacitor?,physics
Explain alternating current.,physics
Describe the Doppler effect.,physics
What happens to wavelength in the blue shift?,physics
What is meant by work done?,physics
Define gravitational field strength.,physics
Why does an object float in water?,physics
How does a lever work?,physics
Describe Hooke’s Law.,physics
What is simple harmonic motion?,physics
How is a rainbow formed?,physics
Explain why the sky is blue.,physics
What’s the difference between mass and weight?,physics
What is specific heat capacity?,physics
How is pressure calculated?,physics
Define buoyant force.,physics
What causes tides on Earth?,physics
What is uniform circular motion?,physics
Why do astronauts experience weightlessness?,physics
What are Lenz’s and Faraday’s laws?,physics
What is the difference between series and parallel circuits?,physics
How does a fuse work?,physics
What’s the role of insulators in electricity?,physics
Describe magnetic field lines around a bar magnet.,physics
How does light behave in different mediums?,physics
Why does a prism separate white light?,physics
What is Newton's second law of motion?,physics
Define velocity.,physics
What is the acceleration due to gravity on Earth?,physics
What is the unit of force?,physics
State Ohm's Law.,physics
What is the speed of light in vacuum?,physics
What is the formula for kinetic energy?,physics
What is the difference between mass and weight?,physics
What is the law of conservation of energy?,physics
What is the SI unit of electric current?,physics
What is the frequency of a wave?,physics
What is Hooke's Law?,physics
What is the first law of thermodynamics?,physics
What is the formula for momentum?,physics
What is the principle of superposition?,physics
What is the unit of power?,physics
What is the difference between scalar and vector quantities?,physics
"What is the formula for potential energy?,",physics
What is refraction of light?,physics
What is the universal law of gravitation?,physics
Physics Q1: Explain Newton's 1 Law of Motion.,physics
Physics Q2: Explain Newton's 2 Law of Motion.,physics
Physics Q3: Explain Newton's 3 Law of Motion.,physics
Physics Q4: Explain Newton's 1 Law of Motion.,physics
Physics Q5: Explain Newton's 2 Law of Motion.,physics
Physics Q6: Explain Newton's 3 Law of Motion.,physics
Physics Q7: Explain Newton's 1 Law of Motion.,physics
